@relation eggDataIMP2

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute Volume numeric
@attribute Area numeric
@attribute Area_Formula numeric
@attribute Volume_Formula numeric
@attribute Area/Volume_Imagem numeric
@attribute Peso_fora numeric
@attribute class {Nascido,Morreu}

@data
59.733,45.132,29.977,29.756,44.522,75.514,78.170,63.706,1.696,57.600,Nascido
57.474,45.289,28.983,28.490,42.499,73.746,76.264,61.723,1.735,54.000,Nascido
52.472,43.194,27.619,24.853,32.627,63.286,67.179,51.260,1.940,46.700,Nascido
57.465,44.635,30.226,27.240,42.006,72.024,74.891,59.945,1.715,56.800,Nascido
61.926,44.381,31.338,30.588,46.897,77.134,78.714,63.865,1.645,63.500,Nascido
58.452,44.409,29.867,28.587,41.033,71.892,75.373,60.361,1.752,58.300,Nascido
57.043,46.749,28.636,28.408,45.430,76.678,78.937,65.277,1.688,59.900,Nascido
59.467,47.174,32.382,27.087,48.365,78.850,82.375,69.294,1.630,61.300,Nascido
57.337,46.023,29.406,27.932,45.043,74.195,77.688,63.592,1.647,58.300,Nascido
54.548,43.756,28.408,26.141,39.875,71.880,70.261,54.684,1.803,50.500,Nascido
57.542,43.984,28.886,28.657,42.915,71.926,73.594,58.287,1.676,55.800,Nascido
58.584,44.255,29.905,28.680,43.049,75.028,75.175,60.077,1.743,58.000,Nascido
58.709,45.381,30.226,28.484,41.999,72.796,77.689,63.307,1.733,57.500,Nascido
58.116,47.095,29.559,28.557,49.564,76.252,80.775,67.491,1.538,60.200,Nascido
56.773,42.964,29.156,27.619,39.831,68.904,70.760,54.875,1.730,51.900,Nascido
59.020,45.710,30.653,28.368,48.960,78.962,78.710,64.571,1.613,62.000,Nascido
59.015,44.137,30.503,28.513,45.305,74.459,75.349,60.198,1.644,57.800,Nascido
57.764,46.073,29.230,28.535,46.847,78.533,78.220,64.202,1.676,58.600,Nascido
58.905,42.311,29.479,29.428,43.729,72.864,71.419,55.216,1.666,54.500,Nascido
59.234,43.926,30.616,28.618,47.273,81.747,75.114,59.842,1.729,58.400,Nascido
57.924,44.173,31.537,26.389,45.455,69.178,74.395,59.182,1.522,53.200,Nascido
61.640,47.149,31.089,30.551,54.546,79.278,84.522,71.747,1.453,62.200,Nascido
58.656,43.556,30.724,27.932,42.663,67.781,73.783,58.265,1.589,53.500,Morreu
59.717,43.160,31.366,28.351,46.417,70.791,73.969,58.244,1.525,53.700,Nascido
58.135,44.227,29.530,28.607,44.506,72.277,74.680,59.543,1.624,56.400,Nascido
58.688,45.144,30.588,28.101,45.709,69.507,77.169,62.627,1.521,54.100,Morreu
56.380,44.481,30.316,26.065,41.446,68.604,73.527,58.409,1.655,53.400,Nascido
57.938,45.543,29.606,28.331,42.004,71.719,77.265,62.921,1.707,57.000,Nascido
58.888,43.513,30.924,27.967,41.178,69.249,73.919,58.383,1.682,54.900,Nascido
60.038,46.479,30.884,29.156,47.697,77.062,81.403,67.913,1.616,62.300,Nascido
58.184,44.855,29.702,28.484,43.913,73.371,76.050,61.295,1.671,57.000,Nascido
54.188,41.394,27.337,26.852,33.810,61.076,65.215,48.617,1.806,47.500,Nascido
59.218,44.176,30.101,29.117,43.389,72.765,75.624,60.509,1.677,57.800,Nascido
56.612,45.300,29.428,27.185,42.216,69.431,75.443,60.828,1.645,56.300,Nascido
55.438,42.769,28.430,27.009,38.686,63.860,69.105,53.097,1.651,50.300,Nascido
57.465,43.113,31.996,25.470,37.173,66.301,71.770,55.927,1.784,52.800,Nascido
57.385,44.029,29.428,27.958,40.477,70.468,73.540,58.249,1.741,55.100,Nascido
57.494,41.870,30.532,26.963,36.441,64.379,69.213,52.775,1.767,52.100,Nascido
57.686,41.315,29.203,28.484,33.707,62.629,68.250,51.557,1.858,52.400,Nascido
58.151,42.618,31.088,27.064,38.422,66.648,71.363,55.302,1.735,54.900,Nascido
58.688,43.394,29.587,29.101,41.098,68.928,73.467,57.865,1.677,57.300,Nascido
54.202,43.113,27.460,26.743,36.587,63.185,68.633,52.752,1.727,47.800,Nascido
58.003,42.196,30.117,27.887,41.849,67.557,70.343,54.075,1.614,48.700,Nascido
57.522,42.715,29.156,28.368,42.586,66.967,70.953,54.955,1.573,51.200,Nascido
63.452,44.394,33.602,29.851,52.190,78.726,80.263,65.479,1.508,60.400,Nascido
61.172,43.556,31.747,29.428,45.478,73.343,76.206,60.766,1.613,55.300,Nascido
61.305,42.076,31.662,29.643,42.152,73.622,73.182,56.828,1.747,53.100,Nascido
59.332,45.774,32.920,26.413,49.322,75.981,79.209,65.093,1.541,57.500,Nascido
55.674,43.394,28.351,27.324,37.570,67.758,70.593,54.894,1.804,51.200,Nascido
